Open,High,Low,Close,Date
1480.46,1495.4,1385.63,1420.61,04/15/13 00:00
1406.46,1422.4,1321.54,1393.94,04/16/13 00:00
1394.77,1397.94,1362.32,1383.55,04/17/13 00:00
1383.31,1401.77,1337.98,1399.55,04/18/13 00:00
1386.67,1424.72,1381.67,1405.08,04/19/13 00:00
1406.93,1409.15,1391.86,1405.54,04/20/13 00:00
1405.54,1405.54,1405.54,1405.54,04/21/13 00:00
1405.54,1438.58,1403.76,1429.69,04/22/13 00:00
1428.55,1432.07,1410.47,1419.47,04/23/13 00:00
1418.34,1433.33,1404.99,1425.93,04/24/13 00:00
1427.53,1454.49,1421.39,1452.66,04/25/13 00:00
1449.12,1485.05,1445.66,1466.15,04/26/13 00:00
1470.18,1482.81,1448.39,1460.04,04/27/13 00:00
1460.04,1460.04,1460.04,1460.04,04/28/13 00:00
1460.04,1478.38,1452.82,1471.61,04/29/13 00:00
1470.09,1479.54,1461.09,1468.48,04/30/13 00:00
1470.39,1477.76,1457.92,1466.46,05/01/13 00:00
1453.86,1468.38,1440.38,1465.83,05/02/13 00:00
1469.05,1487.75,1456.47,1474.41,05/03/13 00:00
1466.16,1475.19,1461.32,1470.21,05/04/13 00:00
1470.21,1470.21,1470.21,1470.21,05/05/13 00:00
1470.21,1478.78,1468.24,1473.89,05/06/13 00:00
1472.02,1473.02,1447.89,1452.26,05/07/13 00:00
1451.41,1469.73,1441.33,1468.08,05/08/13 00:00
1466.42,1476.24,1461.45,1464.57,05/09/13 00:00
1461.38,1471.91,1427.42,1431.93,05/10/13 00:00
1430.16,1449.16,1419.81,1443.1,05/11/13 00:00
1447.22,1447.22,1443.1,1443.1,05/12/13 00:00
1447.22,1448.37,1426.3,1434.86,05/13/13 00:00
1431.95,1445.08,1421.5,1427.76,05/14/13 00:00
1427.04,1438.6,1406.43,1408.57,05/15/13 00:00
1412.65,1416.27,1369.89,1376.25,05/16/13 00:00
1377.21,1392.77,1367.34,1375.8,05/17/13 00:00
1378.76,1380.7,1355.3,1359.62,05/18/13 00:00
1359.62,1359.62,1359.62,1359.62,05/19/13 00:00
1359.62,1365.08,1338.62,1364.55,05/20/13 00:00
1354.5,1401.24,1351.08,1375.24,05/21/13 00:00
1367.12,1397.75,1359.72,1392.1,05/22/13 00:00
1388.8,1412.87,1354.84,1395.01,05/23/13 00:00
1392.17,1398.02,1378.15,1389.53,05/24/13 00:00
1387.78,1393.07,1382.32,1386.47,05/25/13 00:00
1386.47,1386.47,1386.47,1386.47,05/26/13 00:00
1386.47,1396.34,1383.6,1394.92,05/27/13 00:00
1396.22,1396.43,1376.16,1377.36,05/28/13 00:00
1383.07,1401.16,1373.71,1389.5,05/29/13 00:00
1388.15,1410.68,1382.62,1401.16,05/30/13 00:00
1413.0,1421.68,1405.09,1405.67,05/31/13 00:00
1403.59,1409.69,1384.65,1387.7,06/01/13 00:00
1387.7,1387.7,1387.7,1387.7,06/02/13 00:00
1387.7,1401.58,1387.7,1396.03,06/03/13 00:00
1393.96,1416.71,1390.9,1396.79,06/04/13 00:00
1398.95,1408.73,1389.18,1406.01,06/05/13 00:00
1401.4,1410.21,1391.7,1404.32,06/06/13 00:00
1400.62,1423.62,1393.3,1408.79,06/07/13 00:00
1387.01,1398.03,1377.82,1378.5,06/08/13 00:00
1378.5,1378.5,1378.5,1378.5,06/09/13 00:00
1378.5,1388.07,1376.1,1383.13,06/10/13 00:00
1379.52,1388.85,1367.17,1374.08,06/11/13 00:00
1368.72,1380.78,1366.35,1376.92,06/12/13 00:00
1375.86,1394.73,1373.97,1384.82,06/13/13 00:00
1379.25,1389.81,1374.55,1383.14,06/14/13 00:00
1386.35,1392.14,1384.74,1385.6,06/15/13 00:00
1385.6,1385.6,1385.6,1385.6,06/16/13 00:00
1385.6,1391.8,1380.65,1382.27,06/17/13 00:00
1385.05,1387.37,1371.43,1374.1,06/18/13 00:00
1373.11,1375.67,1361.01,1371.79,06/19/13 00:00
1371.43,1375.99,1286.15,1300.88,06/20/13 00:00
